Rank,Population Density ▼,City / Population,,,,
388,420.5/sq mi,"Mountain City, GA / 767",,,,
389,420.0/sq mi,"Waleska, GA / 615",,,,
390,417.5/sq mi,"Nahunta, GA / 1,183",,,,
391,413.2/sq mi,"Morganton, GA / 345",,,,
392,410.4/sq mi,"Hagan, GA / 884",,,,
393,404.5/sq mi,"Comer, GA / 1,320",,,,
394,396.6/sq mi,"Screven, GA / 861",,,,
395,393.7/sq mi,"Lilly, GA / 237",,,,
396,392.1/sq mi,"Gordon, GA / 2,133",,,,
397,385.0/sq mi,"Winterville, GA / 1,019",,,,
398,382.1/sq mi,"Bronwood, GA / 302",,,,
399,377.4/sq mi,"Pembroke, GA / 2,895",,,,
400,377.4/sq mi,"Kite, GA / 306",,,,
401,376.1/sq mi,"Lavonia, GA / 1,726",,,,
402,374.9/sq mi,"Adrian, GA / 532",,,,
403,372.9/sq mi,"Port Wentworth, GA / 6,189",,,,
404,370.7/sq mi,"Shannon, GA / 1,862",,,,
405,368.7/sq mi,"Talbotton, GA / 1,152",,,,
406,365.2/sq mi,"Woodbury, GA / 753",,,,
407,365.0/sq mi,"Luthersville, GA / 1,163",,,,
408,359.4/sq mi,"Iron City, GA / 287",,,,
409,359.1/sq mi,"Kingsland, GA / 16,147",,,,
410,358.9/sq mi,"Aldora, GA / 93",,,,
411,358.4/sq mi,"Roopville, GA / 283",,,,
412,357.9/sq mi,"Greenville, GA / 844",,,,
413,357.4/sq mi,"Portal, GA / 778",,,,
414,354.5/sq mi,"Nicholson, GA / 1,425",,,,
415,353.6/sq mi,"Clermont, GA / 1,055",,,,
416,352.4/sq mi,"Culloden, GA / 280",,,,
417,352.0/sq mi,"Bishop, GA / 278",,,,
418,349.2/sq mi,"Mansfield, GA / 367",,,,
419,341.3/sq mi,"Oliver, GA / 320",,,,
420,340.9/sq mi,"Resaca, GA / 975",,,,
421,340.4/sq mi,"Reidsville, GA / 2,618",,,,
422,340.0/sq mi,"Dutch Island, GA / 1,040",,,,
423,334.8/sq mi,"Zebulon, GA / 1,522",,,,
424,334.4/sq mi,"Rockingham, GA / 394",,,,
425,333.9/sq mi,"Cecil, GA / 325",,,,
426,333.7/sq mi,"Shellman, GA / 1,077",,,,
427,332.9/sq mi,"Cave Spring, GA / 1,353",,,,
428,331.8/sq mi,"Midway, GA / 2,141",,,,
429,330.4/sq mi,"Flovilla, GA / 647",,,,
430,328.5/sq mi,"Patterson, GA / 870",,,,
431,325.6/sq mi,"Arnoldsville, GA / 554",,,,
432,325.5/sq mi,"Dawsonville, GA / 2,671",,,,
433,323.7/sq mi,"Desoto, GA / 264",,,,
